Waste category,Waste type,Waste services,Agriculture,Mining,Manufacturing,"Electricity, gas & water services",Construction,Public administration & safety,All other industries,Households,Imports,Total
Masonry materials,Asphalt,85080,55445,97771,532527,25203,1084996,37478,1176144,17292,0,3111934
Masonry materials,Bricks,227461,151258,254518,1390767,67381,2981002,102242,3208586,44168,0,8427387
Masonry materials,Concrete,636213,419184,721626,3936654,188466,8224363,283347,8892009,471651,0,23773513
Masonry materials,Rubble (d) ,766305,510732,877824,4783044,227003,9805207,345228,10833994,339247,0,28488585
Masonry materials,Plasterboard & cement sheeting,34460,23976,58064,304206,10207,223944,16207,508593,2623,0,1182281
Metals,Steel,323224,222592,527104,2769370,95749,2305036,150461,4721759,2990644,3092524,17198461
Metals,Aluminium,24684,17152,42189,220772,7312,153446,11594,363823,234338,4690,1080001
Metals,Non-ferrous metals (e),18506,12808,30789,161482,5482,124875,8657,271683,170819,14633,819734
Organics,Food organics,27648,83449,55346,1593250,8189,407458,56407,1770181,9676831,2834057,16512819
Organics,Garden organics,116368,69488,205134,829863,34472,584740,46970,1474028,7550888,0,10911953
Organics,Timber,226256,132256,381535,1587031,67024,1365304,89399,2805504,398170,87519,7139998
Organics,Other organics,112379,66122,208060,821275,33290,443349,44695,1402629,1379574,11329,4522705
Organics,Non-contaminated biosolids,166956,98354,310488,1219406,49457,644702,66483,2086370,0,0,4642215
Paper & Cardboard,Cardboard,252868,177784,466679,2426927,74907,1169367,120174,3771278,3380643,15289,11855917
Paper & Cardboard,Liquid paperboard,2106,1485,3932,20431,624,9230,1002,31482,24133,0,94425
Paper & Cardboard,Newsprint & magazines,46164,32532,85918,446517,13675,205067,21989,690079,2794580,567,4337093
Paper & Cardboard,Office paper,33948,23913,63360,329212,10056,148716,16164,507266,95827,0,1228464
Plastics,Polyethylene terephthalate (PET),13581,9567,25348,131707,4023,59495,6466,202940,1223699,9357,1686182
Plastics,High density polyethylene (HDPE),24088,16774,43133,224848,7135,126809,11338,355826,1189026,0,1998977
Plastics,Polyvinyl chloride (PVC),404,284,750,3899,120,1822,192,6030,47038,552,61091
Plastics,Low density polyethylene (LDPE),30298,21341,56547,293816,8975,132725,14426,452727,28068,0,1038926
Plastics,Polypropylene (PP),12509,8813,23322,121189,3705,55062,5957,186943,195016,0,612514
Plastics,Polystyrene (PS),3701,2605,6788,35316,1096,17617,1762,55271,29196,1438,154791
Plastics,Other plastics,37945,26689,66924,349296,11240,211723,18040,566141,809040,28407,2125447
Glass,Glass,25646,18010,47326,246116,7598,118677,12175,382046,2464559,22645,3344798
"Textiles, leather & rubber",Textiles,6589,4554,10924,57311,1952,44913,3078,96593,616185,9828,851927
"Textiles, leather & rubber",Leather & rubber (f),40808,28746,76166,395746,12089,178771,19431,609787,122712,0,1484257
Hazardous waste,Tyres,37911,26706,70758,367651,11231,166079,18052,566495,0,17661,1282542
Hazardous waste,Other hazardous waste,598921,411544,955143,5028181,177419,4522821,278183,8729937,0,375345,21077494
Ash,Ash from coal-fired power stations,0,0,115354,5817737,31159363,0,0,0,0,0,37092454
Other,Other unclassified materials,14392,10116,26128,136049,4264,71608,6838,214599,367081,0,851073
